Iteración,NA's Arribo,Arribo,T. de Llegada,NA's Distribución,T. Distribución,Inicio Distribución,Fin Distribución,NA's Servidor 1,Inicio Servidor 1,Fin Servidor 1,NA's Servidor 2,Inicio Servidor 2,Fin Servidor 2,NA's Servidor 3,Inicio Servidor 3,Fin Servidor 3,NA's Servidor 4,Inicio Servidor 4,Fin Servidor 4,NA's Servidor 5,Inicio Servidor 5,Fin Servidor 5,Cola Distribución,Cola Servidor,Cola Total,Promedio Móvil,Replica 1,Replica 2,Replica 3,Replica 4,Replica 5,Replica 6,Replica 7,Replica 8,Replica 9,Replica 10,Replica 11,Replica 12,Replica 13,Replica 14,Replica 15
97,"[0.421336, 0.607181]",0.44128441420266723,69.17402371729719,"[0.407918, 0.587868]",0.2109735390555466,69.17402371729719,69.38499725635273,,0.0,0.0,"[0.637201, 0.815036]",70.1233854712794,73.62502498785,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.7383882149266725,0.7383882149266725,0.5618764332807642,0.4214605715718652,0.7780436324046852,0.7492838861500883,0.13284939947464375,1.9139648473534279,0.38633366224459925,1.1061535878635098,0.16571499096235282,0.3657967005666329,0.5897092194648752,0.8432458668480846,0.39679401921274554,0.28337027593299624,0.5748963105028845,0.5618764332807642
98,"[0.387196, 0.96078, 0.871415, 0.140192, 0.282439, 0.488286]",0.21045437619919527,69.38447809349638,"[0.71127, 0.34132]",0.3468577595742866,69.38499725635273,69.73185501592702,,0.0,0.0,,0.0,0.0,"[0.85931, 0.786992, 0.740673, 0.516453]",70.79665203169438,74.94178836454702,,0.0,0.0,,0.0,0.0,0.0005191628563494533,1.064797015767354,1.0653161786237035,0.5670135735393657,0.43731319575111466,0.774348690420123,0.7416381322097814,0.13149379335755554,1.9118511154030218,0.416986287515176,1.1186286453634786,0.1640240216668186,0.3620640811730958,0.6000706250990963,0.8419329228810202,0.39274510064935014,0.2804787425051085,0.5717224916750561,0.5670135735393657
99,"[0.605556, 0.661038]",0.9766465481783381,70.36112464167472,"[0.791176, 0.116342]",0.40105972678628243,70.36112464167472,70.762184368461,"[0.268754, 0.230529]",71.12191875461926,71.95521577225811,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.3597343861582516,0.3597343861582516,0.5649198443738999,0.4605802998998321,0.7729714535862902,0.7341468379450361,0.13016557322263075,1.9062223686420223,0.4372283507793198,1.127591022255445,0.16236721336715376,0.35840686823195345,0.6126981193124024,0.8395341760787369,0.3887779784205688,0.28157714319594057,0.5659475170116717,0.5649198443738999
100,"[0.20908, 0.724588]",0.12734515053759904,70.48846979221231,"[0.860823, 0.977361, 0.746833, 0.652717]",0.3691613722543703,70.762184368461,71.13134574071537,,0.0,0.0,,0.0,0.0,,0.0,0.0,[0.57756],71.64093869897076,72.78559064615742,,0.0,0.0,0.2737145762486932,0.5095929582553822,0.7833075345040754,0.5671037212752016,0.48220710767546265,0.7655770124180827,0.7268053695655857,0.1288782083635822,1.9097023926143273,0.44825526996363346,1.1476207567908876,0.16074354123348222,0.35482279954963386,0.6374303031145861,0.8367627864411962,0.38490676770820287,0.28043468872554805,0.560288041841555,0.5671037212752016
101,"[0.468278, 0.728271]",0.5476954410324583,71.03616523324477,"[0.311487, 0.827652]",0.1757256006575454,71.13134574071537,71.30707134137292,"[0.753634, 0.357356]",71.95521577225811,75.99206839367356,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.09518050747060158,0.6481444308851962,0.7433249383557978,0.5688484858007521,0.49078956542495217,0.7579970419981017,0.7196092767976096,0.12760218649859623,1.910662829157699,0.46101435058849854,1.1599174045693486,0.1591520210232497,0.35130970252439,0.655465646053738,0.836109515899956,0.38109580961208206,0.27839050995458536,0.5547406354866881,0.5688484858007521
102,"[0.361006, 0.249036]",0.3273280192395442,71.36349325248432,"[0.431582, 0.368755]",0.21981732945303226,71.36349325248432,71.58331058193735,,0.0,0.0,,0.0,0.0,,0.0,0.0,[0.78917],72.78559064615742,77.66635269345304,,0.0,0.0,0.0,1.2022800642200622,1.2022800642200622,0.5750585993146669,0.5018629885944025,0.7505656984491007,0.7175269985584419,0.1263511846701786,1.9110165471776566,0.4822651513117273,1.1566585961200255,0.15759170709164924,0.3479243205174324,0.6757566842636414,0.8319879267560636,0.38181035654662226,0.2756611912295404,0.5493020018054461,0.5750585993146669
103,"[0.562738, 0.351101]",0.8208877982300791,72.18438105071439,"[0.254759, 0.903774]",0.15492445672494137,72.18438105071439,72.33930550743933,,0.0,0.0,"[0.453875, 0.603661]",73.62502498785,75.55483869173783,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.2857194804106626,1.2857194804106626,0.5819582195194823,0.5102918620340079,0.74327865283309,0.7105880664463573,0.12512447413940017,1.9089662971619596,0.5202159976206421,1.1487132924627825,0.1560616905179439,0.3445464144929913,0.6971763699611007,0.8326042601967115,0.38259844938914317,0.2729848689845934,0.5439689726617039,0.5819582195194823
104,"[0.895338, 0.745187, 0.464707, 0.3054]",0.5389895876964744,72.72337063841087,"[0.982291, 0.907278, 0.148534, 0.937185]",0.11316612168296686,72.72337063841087,72.83653676009384,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,"[0.914164, 0.555236, 0.524322, 0.274722]",74.1617543615993,76.67905684973648,0.0,1.3252176015054573,1.3252176015054573,0.5891049443462706,0.528596155525693,0.736131742709695,0.703755488884373,0.12392135419575209,1.9149417350589226,0.550270793643399,1.1376679723429481,0.15456109733988674,0.34123346819978945,0.7187856225210917,0.8245984500025123,0.38121057767177946,0.2732941214275869,0.5387385017707259,0.5891049443462706
105,"[0.573243, 0.936783]",0.8570400888257403,73.58041072723661,"[0.66631, 0.64571]",0.32169678343258484,73.58041072723661,73.9021075106692,,0.0,0.0,,0.0,0.0,"[0.125785, 0.450661]",74.94178836454702,75.32103016530031,,0.0,0.0,,0.0,0.0,0.0,1.039680853877826,1.039680853877826,0.5933961434846663,0.5474054396983268,0.7291209642076979,0.6970530556569028,0.12274115082245922,1.9184517499452365,0.5932747936703361,1.128050786496773,0.15590194872705002,0.3380120465021027,0.7429934315834542,0.8167451314310599,0.37758000074157205,0.27521335406246217,0.533607658896719,0.5933961434846663
106,"[0.452911, 0.939494]",0.5109719921017544,74.09138271933837,"[0.49222, 0.389931]",0.2432071667188326,74.09138271933837,74.3345898860572,,0.0,0.0,,0.0,0.0,"[0.689745, 0.373996]",75.32103016530031,78.99950474840804,,0.0,0.0,,0.0,0.0,0.0,0.9864402792431122,0.9864402792431122,0.5971041070295573,0.5671669536436165,0.7222424645453611,0.6904770834337245,0.12158321543734167,1.9185530878411434,0.6401472978381334,1.1236512393219575,0.15443117562585143,0.3348232536105734,0.7632965511539068,0.8090399886817102,0.37401792526287797,0.28112641662817134,0.5285736243788255,0.5971041070295573
